PROPN,Frequência
Universidade do Minho,6
Xaquín Núñez-Sabarís,4
Gabriela C. Macieira,2
Universidade de Santiago de Compostela,2
Varsóvia,2
Federico García Lorca,2
Alfredo Sanzol,2
Universidade,2
UMinho,1
Xaquín,1
Ministério de Assuntos Exteriores,1
Galiza,1
Braga,1
Polónia,1
Estive,1
Instituto Cervantes,1
Academia Minhota,1
Universidade de Santiago,1
Brasil,1
Estudos Espanhóis,1
Portugal,1
Rogério,1
Porto,1
António Sá,1
Évora,1
Madrid,1
La Casa de Bernardo Alba,1
Centro Dramático Nacional,1
confluía,1
Bernarda Alba,1
Universidade nova,1
